state_id,state,population,illiteracy,elem_school,drainage_wc,electricity,piped_water,overcrowding,dirt_floor,small_towns,min_wage,marginalization_iindex
1,Aguascalientes,1 184 996,3.27,14.75,1.06,0.62,0.99,30.33,1.76,25.16,33.65,-0.91086
2,Baja California,3 155 070,2.60,12.99,0.43,0.95,3.56,29.06,3.40,10.35,21.87,-1.14015
3,Baja California Sur, 637 026,3.23,14.27,0.94,2.84,7.09,31.74,5.81,15.62,23.30,-0.68129
4,Campeche, 822 441,8.37,22.54,6.42,2.59,9.74,45.97,4.50,30.88,45.51,0.43357
5,Coahuila de Zaragoza,2 748 391,2.65,12.17,1.09,0.54,1.39,30.27,1.42,12.15,30.04,-1.14000
6,Colima, 650 555,5.16,18.48,0.69,0.59,1.17,31.32,4.69,14.48,32.04,-0.77858
7,Chiapas,4 796 580,17.91,37.13,5.06,3.82,22.37,53.90,15.66,57.86,69.85,2.31767
8,Chihuahua,3 406 465,3.70,16.07,2.64,3.78,4.95,28.39,3.55,17.05,35.93,-0.51977
9,Distrito Federal,8 851 080,2.11,8.72,0.08,0.08,1.79,26.08,1.08,0.67,28.51,-1.48228
10,Durango,1 632 934,3.84,18.76,5.85,4.19,5.73,32.60,7.01,36.19,40.61,0.05248
11,Guanajuato,5 486 372,8.23,24.01,6.39,1.49,5.37,36.27,4.25,34.67,39.22,0.06075
12,Guerrero,3 388 768,16.82,31.60,19.58,4.38,29.79,50.18,19.61,49.68,54.94,2.53246
13,Hidalgo,2 665 018,10.30,22.67,6.03,2.50,9.10,37.68,7.22,58.71,49.29,0.66143
14,Jalisco,7 350 682,4.39,18.02,1.50,0.78,3.86,30.10,3.19,17.50,27.15,-0.82456
15,México,15 175 862,4.41,14.29,3.18,0.79,5.67,37.93,3.94,19.10,35.34,-0.55372
16,Michoacán de Ocampo,4 351 037,10.25,29.19,3.81,1.70,8.06,36.17,10.98,40.58,43.69,0.52584
17,Morelos,1 777 227,6.46,17.88,1.98,0.81,8.25,34.17,7.80,24.65,38.23,-0.27213
18,Nayarit,1 084 979,6.35,21.51,5.40,3.76,7.47,33.72,4.38,39.14,38.04,0.12183
19,Nuevo León,4 653 458,2.24,10.92,0.39,0.30,2.21,29.82,1.97,6.70,17.14,-1.38323
20,Oaxaca,3 801 962,16.38,33.85,4.01,4.93,23.66,46.53,19.33,61.51,57.77,2.14624
21,Puebla,5 779 829,10.44,25.13,3.09,1.67,12.40,44.59,9.86,38.50,52.45,0.71224
22,Querétaro,1 827 937,6.35,16.75,6.32,2.00,4.93,33.10,3.83,39.07,29.96,-0.26398
23,Quintana Roo,1 325 578,4.86,15.58,3.06,1.97,6.18,43.14,3.95,14.36,29.24,-0.41774
24,San Luis Potosí,2 585 518,7.96,23.18,3.99,3.91,14.17,34.43,9.10,40.08,46.70,0.56416
25,Sinaloa,2 767 761,5.01,19.71,3.41,1.11,4.71,38.33,6.38,32.85,31.68,-0.26018
26,Sonora,2 662 480,3.06,14.40,1.68,1.57,3.08,34.77,5.41,17.39,30.66,-0.70347
27,Tabasco,2 238 603,7.10,21.33,2.97,1.19,18.51,43.15,6.58,53.65,42.05,0.47240
28,Tamaulipas,3 268 554,3.67,15.96,0.63,1.56,2.91,35.19,3.35,13.92,33.97,-0.72144
29,Tlaxcala,1 169 936,5.22,15.52,2.69,1.00,1.47,42.96,3.73,36.40,52.99,-0.14984
30,Veracruz de Ignacio de la Llave,7 643 194,11.50,28.87,2.58,2.92,19.51,39.96,12.40,46.20,50.64,1.07546
31,Yucatán,1 955 577,9.30,25.40,12.62,1.74,2.18,42.93,2.85,26.27,53.28,0.42295
32,Zacatecas,1 490 668,5.58,24.68,6.69,1.39,5.43,32.90,3.29,48.19,48.28,0.10373
